County,Most searched NFL team in 2018
"Orange County, Texas",Dallas Cowboys
"Panola County, Texas",Dallas Cowboys
"Parmer County, Texas",Denver Broncos
"Potter County, Texas",Dallas Cowboys
"Presidio County, Texas",Denver Broncos
"Rains County, Texas",Dallas Cowboys
"Reagan County, Texas",Dallas Cowboys
"Red River County, Texas",Philadelphia Eagles
"Reeves County, Texas",Houston Texans
"Refugio County, Texas",Tennessee Titans
"Robertson County, Texas",Dallas Cowboys
"Runnels County, Texas",Detroit Lions
"Rusk County, Texas",Dallas Cowboys
"Sabine County, Texas",Green Bay Packers
"San Augustine County, Texas",Dallas Cowboys
"San Jacinto County, Texas",Houston Texans
"San Patricio County, Texas",Dallas Cowboys
"Schleicher County, Texas",Philadelphia Eagles
"Scurry County, Texas",Dallas Cowboys
"Shackelford County, Texas",Dallas Cowboys
"Shelby County, Texas",New England Patriots
"Sherman County, Texas",Jacksonville Jaguars
"Somervell County, Texas",Dallas Cowboys
"Starr County, Texas",Dallas Cowboys
"Stephens County, Texas",Dallas Cowboys
"Stonewall County, Texas",Dallas Cowboys
"Sutton County, Texas",New York Giants
"Swisher County, Texas",Philadelphia Eagles
"Taylor County, Texas",Dallas Cowboys
"Terrell County, Texas",Green Bay Packers
"Terry County, Texas",Chicago Bears
"Titus County, Texas",Dallas Cowboys
"Tom Green County, Texas",Dallas Cowboys
"Trinity County, Texas",Dallas Cowboys
"Tyler County, Texas",Dallas Cowboys
"Upshur County, Texas",Dallas Cowboys
"Upton County, Texas",Pittsburgh Steelers
"Uvalde County, Texas",Oakland Raiders
"Van Zandt County, Texas",Dallas Cowboys
"Victoria County, Texas",Dallas Cowboys
"Walker County, Texas",Houston Texans
"Waller County, Texas",Houston Texans
"Ward County, Texas",Dallas Cowboys
"Washington County, Texas",Houston Texans
"Wharton County, Texas",Houston Texans
"Wheeler County, Texas",Dallas Cowboys
"Wichita County, Texas",Dallas Cowboys
"Wilbarger County, Texas",Dallas Cowboys
"Willacy County, Texas",Dallas Cowboys
"Wilson County, Texas",Dallas Cowboys
"Winkler County, Texas",Dallas Cowboys
"Wise County, Texas",Dallas Cowboys
"Young County, Texas",New England Patriots
"Zapata County, Texas",Dallas Cowboys
"Zavala County, Texas",Dallas Cowboys
"Beaver County, Utah",Los Angeles Rams
"Box Elder County, Utah",New England Patriots
"Carbon County, Utah",Philadelphia Eagles
"Davis County, Utah",Philadelphia Eagles
"Duchesne County, Utah",New York Jets
"Garfield County, Utah",Kansas City Chiefs
"Grand County, Utah",New York Giants
"Iron County, Utah",Philadelphia Eagles
"Juab County, Utah",Philadelphia Eagles
"Kane County, Utah",Dallas Cowboys
"Millard County, Utah",Denver Broncos
"Morgan County, Utah",Minnesota Vikings
"San Juan County, Utah",Denver Broncos
"Sevier County, Utah",New York Giants
"Tooele County, Utah",Oakland Raiders
"Uintah County, Utah",San Francisco 49ers
"Wasatch County, Utah",Chicago Bears
"Wayne County, Utah",Pittsburgh Steelers
"Weber County, Utah",New England Patriots
"Addison County, Vermont",New England Patriots
"Bennington County, Vermont",Pittsburgh Steelers
"Caledonia County, Vermont",New England Patriots
"Essex County, Vermont",Los Angeles Rams
"Grand Isle County, Vermont",Green Bay Packers
"Lamoille County, Vermont",Philadelphia Eagles
"Orange County, Vermont",New England Patriots
"Orleans County, Vermont",New England Patriots
"Rutland County, Vermont",New England Patriots
"Windham County, Vermont",New England Patriots
"Windsor County, Vermont",New England Patriots
"Accomack County, Virginia",Washington Redskins
"Alleghany County, Virginia",Washington Redskins
"Amelia County, Virginia",Dallas Cowboys
"Amherst County, Virginia",Washington Redskins
"Appomattox County, Virginia",Washington Redskins
"Augusta County, Virginia",Philadelphia Eagles
"Bedford County, Virginia",Washington Redskins
"Botetourt County, Virginia",Washington Redskins
"Brunswick County, Virginia",New England Patriots
"Buchanan County, Virginia",Dallas Cowboys
"Buckingham County, Virginia",Washington Redskins
"Campbell County, Virginia",Washington Redskins
"Caroline County, Virginia",Washington Redskins
"Carroll County, Virginia",Green Bay Packers
"Charles City County, Virginia",Washington Redskins
"Charlotte County, Virginia",Philadelphia Eagles
"Clarke County, Virginia",Philadelphia Eagles
"Culpeper County, Virginia",Washington Redskins
"Cumberland County, Virginia",New England Patriots
"Dinwiddie County, Virginia",Washington Redskins
"Essex County, Virginia",Washington Redskins
"Fauquier County, Virginia",Washington Redskins
"Floyd County, Virginia",Philadelphia Eagles
"Fluvanna County, Virginia",Pittsburgh Steelers
"Franklin County, Virginia",Washington Redskins
"Giles County, Virginia",Pittsburgh Steelers
"Gloucester County, Virginia",Washington Redskins
"Goochland County, Virginia",Dallas Cowboys
"Grayson County, Virginia",Dallas Cowboys
"Greene County, Virginia",Cleveland Browns
"Greensville County, Virginia",Washington Redskins
"Halifax County, Virginia",Dallas Cowboys
"Hanover County, Virginia",Washington Redskins
"Henry County, Virginia",Pittsburgh Steelers
"Isle of Wight County, Virginia",San Francisco 49ers
"James City County, Virginia",Philadelphia Eagles
"King and Queen County, Virginia",New York Giants
"King George County, Virginia",Washington Redskins
"King William County, Virginia",Washington Redskins
"Lancaster County, Virginia",Washington Redskins
"Lee County, Virginia",Minnesota Vikings
"Louisa County, Virginia",Pittsburgh Steelers
"Lunenburg County, Virginia",Cleveland Browns
"Madison County, Virginia",Washington Redskins
"Mathews County, Virginia",Washington Redskins
"Mecklenburg County, Virginia",Dallas Cowboys
"Middlesex County, Virginia",Carolina Panthers
"Montgomery County, Virginia",New England Patriots
"Nelson County, Virginia",New England Patriots
"New Kent County, Virginia",Washington Redskins
"Northampton County, Virginia",Philadelphia Eagles
"Northumberland County, Virginia",Indianapolis Colts
"Nottoway County, Virginia",New York Giants
"Orange County, Virginia",New England Patriots
"Patrick County, Virginia",Chicago Bears
"Powhatan County, Virginia",Philadelphia Eagles
"Prince Edward County, Virginia",Pittsburgh Steelers
"Prince George County, Virginia",Washington Redskins
"Pulaski County, Virginia",Washington Redskins
"Rappahannock County, Virginia",Denver Broncos
"Richmond County, Virginia",Minnesota Vikings
"Rockbridge County, Virginia",Carolina Panthers
"Russell County, Virginia",Pittsburgh Steelers
"Scott County, Virginia",Tennessee Titans
"Shenandoah County, Virginia",Washington Redskins
"Smyth County, Virginia",New England Patriots
"Spotsylvania County, Virginia",Washington Redskins
"Surry County, Virginia",Philadelphia Eagles
"Sussex County, Virginia",Baltimore Ravens
"Tazewell County, Virginia",Kansas City Chiefs
"Washington County, Virginia",Tennessee Titans
"Westmoreland County, Virginia",Dallas Cowboys
"Wise County, Virginia",Dallas Cowboys
"Wythe County, Virginia",New England Patriots
"York County, Virginia",Philadelphia Eagles
"Adams County, Washington",Seattle Seahawks
"Asotin County, Washington",New England Patriots
"Chelan County, Washington",Seattle Seahawks
"Clallam County, Washington",Seattle Seahawks
"Columbia County, Washington",Oakland Raiders
"Cowlitz County, Washington",Seattle Seahawks
"Douglas County, Washington",Seattle Seahawks
"Ferry County, Washington",New England Patriots
"Garfield County, Washington",Philadelphia Eagles
"Grant County, Washington",Seattle Seahawks
"Grays Harbor County, Washington",Seattle Seahawks
"Island County, Washington",Seattle Seahawks
"Kittitas County, Washington",Seattle Seahawks
"Klickitat County, Washington",Seattle Seahawks
"Lewis County, Washington",Seattle Seahawks
"Lincoln County, Washington",Seattle Seahawks
"Mason County, Washington",Seattle Seahawks
"Okanogan County, Washington",Seattle Seahawks
"Pend Oreille County, Washington",Dallas Cowboys
"San Juan County, Washington",Seattle Seahawks
"Skagit County, Washington",Seattle Seahawks
"Skamania County, Washington",Seattle Seahawks
"Stevens County, Washington",Seattle Seahawks
"Wahkiakum County, Washington",Seattle Seahawks
"Whitman County, Washington",Seattle Seahawks
"Barbour County, West Virginia",Pittsburgh Steelers
"Boone County, West Virginia",Philadelphia Eagles
"Braxton County, West Virginia",Philadelphia Eagles
"Brooke County, West Virginia",Pittsburgh Steelers
"Cabell County, West Virginia",Pittsburgh Steelers
"Calhoun County, West Virginia",Pittsburgh Steelers
"Clay County, West Virginia",Washington Redskins
"Doddridge County, West Virginia",Dallas Cowboys
"Fayette County, West Virginia",Pittsburgh Steelers
"Gilmer County, West Virginia",Pittsburgh Steelers
"Grant County, West Virginia",Philadelphia Eagles
"Greenbrier County, West Virginia",Chicago Bears
"Hampshire County, West Virginia",Pittsburgh Steelers
"Hancock County, West Virginia",Pittsburgh Steelers
"Hardy County, West Virginia",Pittsburgh Steelers
"Harrison County, West Virginia",Pittsburgh Steelers
"Jackson County, West Virginia",Pittsburgh Steelers
"Jefferson County, West Virginia",Pittsburgh Steelers
"Kanawha County, West Virginia",Pittsburgh Steelers
"Lewis County, West Virginia",Dallas Cowboys
"Lincoln County, West Virginia",Cleveland Browns
"Logan County, West Virginia",New England Patriots
"McDowell County, West Virginia",Philadelphia Eagles
"Marshall County, West Virginia",Pittsburgh Steelers
"Mason County, West Virginia",Pittsburgh Steelers
"Mercer County, West Virginia",Carolina Panthers
"Mineral County, West Virginia",San Francisco 49ers
"Mingo County, West Virginia",Pittsburgh Steelers
"Monongalia County, West Virginia",Pittsburgh Steelers
"Monroe County, West Virginia",Washington Redskins
"Morgan County, West Virginia",Washington Redskins
"Nicholas County, West Virginia",Pittsburgh Steelers
"Ohio County, West Virginia",Pittsburgh Steelers
"Pendleton County, West Virginia",Philadelphia Eagles
"Pleasants County, West Virginia",Philadelphia Eagles
"Pocahontas County, West Virginia",Pittsburgh Steelers
"Preston County, West Virginia",Pittsburgh Steelers
"Putnam County, West Virginia",New Orleans Saints
"Raleigh County, West Virginia",Oakland Raiders
"Randolph County, West Virginia",New England Patriots
"Ritchie County, West Virginia",Minnesota Vikings
"Roane County, West Virginia",Cincinnati Bengals
"Summers County, West Virginia",Oakland Raiders
"Taylor County, West Virginia",Denver Broncos
"Tucker County, West Virginia",Dallas Cowboys
"Tyler County, West Virginia",Philadelphia Eagles
"Upshur County, West Virginia",Pittsburgh Steelers
"Wayne County, West Virginia",Green Bay Packers
"Webster County, West Virginia",New England Patriots
"Wetzel County, West Virginia",Cleveland Browns
"Wirt County, West Virginia",New England Patriots
"Wood County, West Virginia",Pittsburgh Steelers
"Wyoming County, West Virginia",Los Angeles Rams
"Adams County, Wisconsin",Green Bay Packers
"Ashland County, Wisconsin",Green Bay Packers
"Bayfield County, Wisconsin",Green Bay Packers
"Buffalo County, Wisconsin",Green Bay Packers
"Burnett County, Wisconsin",Green Bay Packers
"Calumet County, Wisconsin",Green Bay Packers
"Chippewa County, Wisconsin",Green Bay Packers
"Clark County, Wisconsin",Green Bay Packers
"Columbia County, Wisconsin",Green Bay Packers
"Crawford County, Wisconsin",Green Bay Packers
"Dodge County, Wisconsin",Green Bay Packers
"Door County, Wisconsin",Green Bay Packers
"Douglas County, Wisconsin",Green Bay Packers
"Dunn County, Wisconsin",Green Bay Packers
"Florence County, Wisconsin",Green Bay Packers
"Fond du Lac County, Wisconsin",Green Bay Packers
"Forest County, Wisconsin",Green Bay Packers
"Grant County, Wisconsin",Green Bay Packers
"Green County, Wisconsin",Green Bay Packers
"Green Lake County, Wisconsin",Green Bay Packers
"Iron County, Wisconsin",Green Bay Packers
"Jackson County, Wisconsin",Green Bay Packers
"Jefferson County, Wisconsin",Green Bay Packers
"Juneau County, Wisconsin",Green Bay Packers
"Kewaunee County, Wisconsin",Green Bay Packers
"Lafayette County, Wisconsin",Green Bay Packers
"Langlade County, Wisconsin",Green Bay Packers
"Lincoln County, Wisconsin",Green Bay Packers
"Manitowoc County, Wisconsin",Green Bay Packers
"Marathon County, Wisconsin",Green Bay Packers
"Marinette County, Wisconsin",Green Bay Packers
"Marquette County, Wisconsin",Green Bay Packers
"Menominee County, Wisconsin",Green Bay Packers
"Monroe County, Wisconsin",Green Bay Packers
"Oconto County, Wisconsin",Green Bay Packers
"Oneida County, Wisconsin",Green Bay Packers
"Pepin County, Wisconsin",Green Bay Packers
"Pierce County, Wisconsin",Minnesota Vikings
"Polk County, Wisconsin",Green Bay Packers
"Portage County, Wisconsin",Green Bay Packers
"Price County, Wisconsin",Green Bay Packers
"Richland County, Wisconsin",Green Bay Packers
"Rusk County, Wisconsin",Green Bay Packers
"Sawyer County, Wisconsin",Green Bay Packers
"Shawano County, Wisconsin",Green Bay Packers
"Sheboygan County, Wisconsin",Green Bay Packers
"Taylor County, Wisconsin",Green Bay Packers
"Trempealeau County, Wisconsin",Green Bay Packers
"Vilas County, Wisconsin",Green Bay Packers
"Walworth County, Wisconsin",Green Bay Packers
"Washburn County, Wisconsin",Green Bay Packers
"Waupaca County, Wisconsin",Green Bay Packers
"Waushara County, Wisconsin",Green Bay Packers
"Wood County, Wisconsin",Green Bay Packers
"Big Horn County, Wyoming",New England Patriots
"Campbell County, Wyoming",New England Patriots
"Carbon County, Wyoming",Baltimore Ravens
"Converse County, Wyoming",Green Bay Packers
"Crook County, Wyoming",Denver Broncos
"Goshen County, Wyoming",Denver Broncos
"Hot Springs County, Wyoming",Los Angeles Rams
"Laramie County, Wyoming",Denver Broncos
"Lincoln County, Wyoming",Philadelphia Eagles
"Natrona County, Wyoming",Denver Broncos
"Park County, Wyoming",Denver Broncos
"Platte County, Wyoming",Denver Broncos
"Sheridan County, Wyoming",Denver Broncos
"Sublette County, Wyoming",Denver Broncos
"Sweetwater County, Wyoming",Denver Broncos
"Teton County, Wyoming",Chicago Bears
"Uinta County, Wyoming",Pittsburgh Steelers
"Washakie County, Wyoming",Philadelphia Eagles
"Weston County, Wyoming",Tennessee Titans
